fantasy_bat_prev_1,fantasy_bowl_prev_1,fantasy_field_prev_1,fantasy_bat_prev_2,fantasy_bowl_prev_2,fantasy_field_prev_2,total_runs_prev_1,total_runs_prev_2,avg_runs_per_inning_prev_1,avg_runs_per_inning_prev_2,boundaries_prev_1,boundaries_prev_2,sixes_prev_1,sixes_prev_2,average_sixes_per_inning_prev_1,average_sixes_per_inning_prev_2,fours_prev_1,fours_prev_2,average_fours_per_inning_prev_1,average_fours_per_inning_prev_2,boundary_percent_per_inning_prev_1,boundary_percent_per_inning_prev_2,wickets_prev_1,wickets_prev_2,avg_wickets_per_inning_prev_1,avg_wickets_per_inning_prev_2,catches_taken_prev_1,catches_taken_prev_2,stumped_outs_made_prev_1,stumped_outs_made_prev_2,run_outs_made_prev_1,run_outs_made_prev_2,balls_faced_prev_1,balls_faced_prev_2,avg_balls_faced_per_inning_prev_1,avg_balls_faced_per_inning_prev_2,avg_batting_sr_per_inning_prev_1,avg_batting_sr_per_inning_prev_2,avg_runs_ball_per_inning_prev_1,avg_runs_ball_per_inning_prev_2,overs_bowled_prev_1,overs_bowled_prev_2,bowls_bowled_prev_1,bowls_bowled_prev_2,average_bowls_bowled_per_inning_prev_1,average_bowls_bowled_per_inning_prev_2,avg_economy_rate_per_inning_prev_1,avg_economy_rate_per_inning_prev_2,average_consecutive_dot_balls_prev_1,average_consecutive_dot_balls_prev_2,runs_given_prev_1,runs_given_prev_2,runs_given_ball_per_inning_prev_1,runs_given_ball_per_inning_prev_2,batting_sr_aa_prev_1,batting_sr_aa_prev_2,bat_points,bowl_points,field_points,batting_points,bowling_points,fielding_points,total_runs,avg_runs_per_inning,boundaries,sixes,average_sixes_per_inning,fours,average_fours_per_inning,boundary_percent_per_inning,wickets,avg_wickets_per_inning,catches_taken,stumped_outs_made,run_outs_made,balls_faced,avg_balls_faced_per_inning,avg_batting_sr_per_inning,avg_runs_ball_per_inning,overs_bowled,bowls_bowled,average_bowls_bowled_per_inning,avg_economy_rate_per_inning,average_consecutive_dot_balls,runs_given,runs_given_ball_per_inning,batting_sr_aa
-3.0,0.0,8,11.0,56.0,16,54.0,120.0,27.0,60.0,5.0,19.0,0.0,0.0,0.0,0.0,5.0,19.0,2.5,9.5,1.7006802721088434,5.428571428571429,0.0,2.0,0.0,2.0,1,2,0,0,0,0,147.0,175.0,73.5,87.5,18.367346938775512,34.285714285714285,0.1836734693877551,0.34285714285714286,0.0,10.0,0.0,60.0,0.0,60.0,0.0,4.4,0.0,2.0,0.0,44.0,0.0,0.7333333333333333,-24.08263291139241,0.0,-1.0,0.0,16,-1.0,0.0,16,33.0,16.5,7.0,0.0,0.0,7.0,3.5,8.13953488372093,0.0,0.0,2,0,0,43.0,21.5,38.372093023255815,0.38372093023255816,1.0,6.0,6.0,9.0,0.0,9.0,1.5,28.74736708860759
-1.0,0.0,16,-3.0,0.0,8,33.0,54.0,16.5,27.0,7.0,5.0,0.0,0.0,0.0,0.0,7.0,5.0,3.5,2.5,8.13953488372093,1.7006802721088434,0.0,0.0,0.0,0.0,2,1,0,0,0,0,43.0,147.0,21.5,73.5,38.372093023255815,18.367346938775512,0.38372093023255816,0.1836734693877551,1.0,0.0,6.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1.5,0.0,28.74736708860759,-24.08263291139241,-2.0,0.0,0,-2.0,0.0,0,28.0,14.0,5.0,1.0,0.5,4.0,2.0,4.716981132075472,0.0,0.0,0,0,0,53.0,26.5,26.41509433962264,0.2641509433962264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2526329113924106
-2.0,0.0,0,-1.0,0.0,16,28.0,33.0,14.0,16.5,5.0,7.0,1.0,0.0,0.5,0.0,4.0,7.0,2.0,3.5,4.716981132075472,8.13953488372093,0.0,0.0,0.0,0.0,0,2,0,0,0,0,53.0,43.0,26.5,21.5,26.41509433962264,38.372093023255815,0.2641509433962264,0.38372093023255816,0.0,1.0,0.0,6.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1.5,-1.2526329113924106,28.74736708860759,1.0,0.0,0,1.0,0.0,0,68.0,34.0,9.0,0.0,0.0,9.0,4.5,5.172413793103448,0.0,0.0,0,0,0,87.0,43.5,39.08045977011494,0.39080459770114945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9273670886076
0.0,31.0,16,4.0,31.0,44,67.0,64.0,33.5,32.0,7.0,10.0,1.0,2.0,0.5,1.0,6.0,8.0,3.0,4.0,2.5547445255474455,4.237288135593221,1.0,1.0,0.5,0.5,2,5,0,0,0,0,137.0,118.0,68.5,59.0,24.452554744525546,27.11864406779661,0.24452554744525548,0.2711864406779661,22.0,29.0,132.0,174.0,66.0,87.0,1.2045454545454546,1.9655172413793103,6.0,3.0,53.0,114.0,0.20075757575757575,0.3275862068965517,0.0,0.0,0.0,31.0,0,0.0,31.0,0,54.0,27.0,7.0,1.0,0.5,6.0,3.0,3.5,1.0,0.5,0,0,0,100.0,50.0,27.0,0.27,24.0,144.0,72.0,1.0416666666666667,6.0,50.0,0.1736111111111111,0.0
0.0,31.0,0,0.0,31.0,16,54.0,67.0,27.0,33.5,7.0,7.0,1.0,1.0,0.5,0.5,6.0,6.0,3.0,3.0,3.5,2.5547445255474455,1.0,1.0,0.5,0.5,0,2,0,0,0,0,100.0,137.0,50.0,68.5,27.0,24.452554744525546,0.27,0.24452554744525548,24.0,22.0,144.0,132.0,72.0,66.0,1.0416666666666667,1.2045454545454546,6.0,6.0,50.0,53.0,0.1736111111111111,0.20075757575757575,0.0,0.0,-6.0,56.0,0,-6.0,56.0,0,20.0,10.0,2.0,0.0,0.0,2.0,1.0,1.6666666666666667,2.0,2.0,0,0,0,60.0,30.0,16.666666666666668,0.16666666666666666,18.0,108.0,108.0,3.2222222222222223,0.0,58.0,0.5370370370370371,-51.25263291139241
-6.0,56.0,0,0.0,31.0,0,20.0,54.0,10.0,27.0,2.0,7.0,0.0,1.0,0.0,0.5,2.0,6.0,1.0,3.0,1.6666666666666667,3.5,2.0,1.0,2.0,0.5,0,0,0,0,0,0,60.0,100.0,30.0,50.0,16.666666666666668,27.0,0.16666666666666666,0.27,18.0,24.0,108.0,144.0,108.0,72.0,3.2222222222222223,1.0416666666666667,0.0,6.0,58.0,50.0,0.5370370370370371,0.1736111111111111,-51.25263291139241,0.0,2.0,6.0,16,2.0,6.0,16,71.0,35.5,9.0,1.0,0.5,8.0,4.0,3.488372093023256,0.0,0.0,2,0,0,129.0,64.5,27.51937984496124,0.2751937984496124,9.0,54.0,27.0,3.4444444444444446,0.0,62.0,0.5740740740740741,1.427367088607589
-8.0,0.0,16,11.0,0.0,16,3.0,96.0,1.5,48.0,0.0,15.0,0.0,4.0,0.0,2.0,0.0,11.0,0.0,5.5,0.0,5.0675675675675675,0.0,0.0,0.0,0.0,2,2,0,0,0,0,13.0,148.0,6.5,74.0,11.538461538461538,32.432432432432435,0.11538461538461539,0.32432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.922632911392412,15.957367088607583,-6.0,0.0,36,-6.0,0.0,36,31.0,15.5,2.0,0.0,0.0,2.0,1.0,1.639344262295082,0.0,0.0,4,0,0,61.0,30.5,25.40983606557377,0.2540983606557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25263291139241
-6.0,0.0,36,-8.0,0.0,16,31.0,3.0,15.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.639344262295082,0.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,61.0,13.0,30.5,6.5,25.40983606557377,11.538461538461538,0.2540983606557377,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25263291139241,-17.922632911392412,-7.0,0.0,28,-7.0,0.0,28,9.0,4.5,1.0,0.0,0.0,1.0,0.5,1.7857142857142858,0.0,0.0,3,0,0,28.0,14.0,16.071428571428573,0.16071428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.25263291139241
-7.0,0.0,28,-6.0,0.0,36,9.0,31.0,4.5,15.5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.7857142857142858,1.639344262295082,0.0,0.0,0.0,0.0,3,4,0,0,0,0,28.0,61.0,14.0,30.5,16.071428571428573,25.40983606557377,0.16071428571428573,0.2540983606557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.25263291139241,-11.25263291139241,-5.0,0.0,8,-5.0,0.0,8,54.0,27.0,3.0,0.0,0.0,3.0,1.5,1.1904761904761905,0.0,0.0,1,0,0,126.0,63.0,21.428571428571427,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7626329113924086
-3.0,31.0,0,-7.0,147.0,16,25.0,10.0,12.5,5.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.5,0.5,13.88888888888889,1.6129032258064515,1.0,5.0,1.0,2.5,0,2,0,0,0,0,18.0,31.0,9.0,15.5,69.44444444444444,16.129032258064516,0.6944444444444444,0.16129032258064516,18.0,35.5,108.0,213.0,108.0,106.5,5.888888888888889,2.8309859154929575,0.0,3.0,106.0,201.0,0.9814814814814815,0.47183098591549294,137.63736708860756,0.0,-7.0,114.0,0,-7.0,114.0,0,17.0,8.5,1.0,0.0,0.0,1.0,0.5,1.2195121951219512,4.0,2.0,0,0,0,41.0,20.5,20.73170731707317,0.2073170731707317,20.666666666666668,124.0,62.0,3.5564516129032255,0.0,147.0,0.592741935483871,-2.86263291139241
