,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
J Marples,J Marples,Right hand,,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,,,-13.5,,-14.3,
Asif Bevinje,Asif Bevinje,Right hand,Right arm pace,2,1,0,50.0,2,26,8,4,0,11,25,2,0,0,0,2,0,0,0,0.4,38.5,104.0,59.09,13.0,13.0,13.0,0.0,16.0,1.0,12.5,9.5,24.0,5.0,12.5,6.2,2,33,10,2,1,1,35,3,0,3,17,0,0,0,1,0,0,0,1,0,5.7,0,48.6,8.6,33.0,0,35.0,0,0.9,11.7,39.5,2.1,6.2,33.0,12.5,-0.0,18.7,-0.5
S Vashisht,S Vashisht,Right hand,Right arm pace,2,1,0,50.0,1,3,3,0,0,3,6,1,0,1,0,0,0,0,0,0.5,33.3,50.0,0.0,3.0,3.0,0.0,100.0,0.0,0.5,6.0,0.0,100.0,,6.0,inf,1,29,3,2,2,0,12,2,0,2,3,0,0,0,0,0,0,1,1,0,14.5,0,25.0,33.3,inf,0,inf,0,2.4,3.0,21.4,1.0,3.0,inf,-10.5,-0.5,14.7,1.0
S Nadigotla,S Nadigotla,Right hand,Right arm off break,2,1,0,50.0,2,32,12,3,1,7,24,2,0,0,0,2,0,0,0,0.3,44.4,133.3,8.42,16.0,16.0,10.0,37.5,16.7,1.3,12.0,7.0,41.7,2.0,12.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,8.0,,18.5,0.3,-14.3,
M Gouws,M Gouws,,,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,16,1,1,1,0,6,5,0,5,3,0,0,0,0,0,0,0,0,0,16.0,0,50.0,33.3,inf,0,inf,0,2.7,3.0,14.3,1.5,,inf,-13.5,,1.7,1.3
M Whelan,M Whelan,,,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,44,5,2,4,1,18,3,0,3,5,0,0,0,1,0,0,0,0,0,14.7,0,27.8,33.3,44.0,0,18.0,0,2.4,3.0,15.0,1.2,,44.0,-13.5,,29.7,1.0
KA Vimlesh,KA Vimlesh,,,2,1,0,50.0,2,9,5,0,0,4,12,0,0,0,0,0,0,0,0,0.3,50.0,75.0,15.0,inf,4.5,2.5,44.4,0.0,0.8,6.0,4.0,33.3,,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,4.5,,-4.5,-0.2,-14.3,
R Athapaththu,R Athapaththu,,,2,1,0,50.0,1,28,4,1,3,3,12,0,0,0,0,0,0,0,0,0.2,25.0,233.3,0.0,inf,28.0,0.0,100.0,33.3,2.3,12.0,0.0,100.0,8.0,inf,3.0,2,72,17,6,1,4,48,15,0,15,19,0,1,0,3,0,0,0,0,0,9.0,0,39.6,14.6,18.0,0,12.0,0,1.5,6.9,30.2,2.4,14.0,18.0,14.5,1.3,57.7,0.1
C Pyle,C Pyle,,,1,1,0,100.0,1,47,21,4,1,14,42,1,0,0,0,1,0,0,0,0.3,46.7,111.9,0.0,47.0,47.0,0.0,100.0,11.9,1.1,42.0,0.0,100.0,6.0,42.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.7,,33.5,0.1,-14.3,
H Pile,H Pile,,,1,1,0,100.0,1,2,0,0,0,5,6,1,0,0,0,1,0,0,0,0.8,16.7,33.3,0.0,2.0,2.0,0.0,100.0,0.0,0.3,6.0,0.0,100.0,,6.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,2.0,,-11.5,-0.7,-14.3,
M Koli,M Koli,,,2,1,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,2,26,11,3,0,4,48,1,0,1,31,0,0,0,3,0,1,0,0,0,3.2,0,64.6,6.2,6.5,0,12.0,0,0.5,16.0,22.4,2.5,,6.5,-13.5,,11.7,-0.9
JA Fitzgerald,JA Fitzgerald,Right hand,Right arm pace,1,1,0,100.0,1,20,2,1,2,3,10,0,0,0,0,0,0,0,0,0.3,33.3,200.0,0.0,inf,20.0,0.0,100.0,30.0,2.0,10.0,0.0,100.0,10.0,inf,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,12.0,,6.5,1.0,-14.3,
Danyal Raja,Danyal Raja,,,1,0,0,0.0,1,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0.5,0.0,50.0,0.0,1.0,1.0,0.0,100.0,0.0,0.5,2.0,0.0,100.0,,2.0,inf,1,36,4,5,1,0,24,2,0,2,10,0,0,0,0,0,0,0,0,0,9.0,0,41.7,25.0,inf,0,inf,0,1.5,4.0,23.1,3.0,3.0,inf,-12.5,-0.5,21.7,0.1
M Gogev,M Gogev,,,1,0,0,0.0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,100.0,,2.0,inf,1,39,8,5,1,2,24,1,0,1,8,0,0,0,2,0,0,1,0,0,9.8,0,33.3,25.0,19.5,0,12.0,0,1.6,4.0,24.0,1.1,0.0,19.5,-13.5,-1.0,24.7,0.2
Waleed Waqar,Waleed Waqar,,,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,26,4,5,0,1,12,0,0,0,2,0,0,0,1,0,0,1,0,0,13.0,0,16.7,41.7,26.0,0,12.0,0,2.2,2.4,25.0,1.0,,26.0,-13.5,,11.7,0.8
P Mishra,P Mishra,Right hand,Right arm pace,1,0,0,0.0,1,25,7,1,2,5,17,1,1,0,0,0,0,0,0,0.3,42.1,147.1,0.0,25.0,25.0,0.0,100.0,17.6,1.5,17.0,0.0,100.0,7.0,17.0,5.7,1,17,8,2,0,0,12,1,0,1,2,0,0,0,0,0,0,0,0,0,8.5,0,16.7,16.7,inf,0,inf,0,1.4,6.0,76.9,1.0,8.8,inf,11.5,0.5,2.7,0.0
Isa Zaroo,Isa Zaroo,,,1,0,0,0.0,1,20,10,2,0,15,29,1,0,1,0,0,0,0,0,0.5,34.5,69.0,0.0,20.0,20.0,0.0,100.0,6.9,0.7,29.0,0.0,100.0,7.0,29.0,14.5,1,28,8,1,2,2,18,0,0,0,5,0,0,0,1,0,1,1,0,0,9.3,0,27.8,16.7,14.0,0,9.0,0,1.6,6.0,38.9,1.7,4.1,14.0,6.5,-0.3,13.7,0.2
Gagandeep Singh,Gagandeep Singh,Right hand,Right arm pace,1,0,0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,1,27,8,4,0,0,18,3,0,3,6,0,0,0,0,0,0,1,0,0,9.0,0,33.3,22.2,inf,0,inf,0,1.5,4.5,47.6,2.0,0.0,inf,-13.5,-1.0,12.7,0.1
Firas Hussain,Firas Hussain,,,1,0,0,0.0,1,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,100.0,,2.0,inf,1,15,5,2,0,1,12,0,0,0,3,0,0,0,1,0,0,0,0,0,7.5,0,25.0,16.7,15.0,0,12.0,0,1.2,6.0,58.3,1.3,0.0,15.0,-13.5,-1.0,0.7,-0.2
Manan Bashir,Manan Bashir,,,1,0,0,0.0,1,1,1,0,0,4,5,1,0,0,0,1,0,0,0,0.8,20.0,20.0,0.0,1.0,1.0,0.0,100.0,0.0,0.2,5.0,0.0,100.0,,5.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,1.2,,-12.5,-0.8,-14.3,
Ijaz Hussain,Ijaz Hussain,Right hand,Right arm pace,1,1,0,100.0,1,6,0,1,0,1,3,0,0,0,0,0,0,0,0,0.3,33.3,200.0,0.0,inf,6.0,0.0,100.0,33.3,2.0,3.0,0.0,100.0,1.0,inf,3.0,1,23,9,0,2,2,18,2,0,2,7,0,1,0,1,0,0,0,0,0,7.7,0,38.9,11.1,11.5,0,9.0,0,1.3,9.0,40.0,1.8,12.0,11.5,-7.5,1.0,8.7,-0.1
D Nikolov,D Nikolov,Right hand,Right arm pace,1,0,0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
Zaid Soulat,Zaid Soulat,,,1,0,0,0.0,1,32,10,4,0,24,43,1,0,0,0,1,0,0,0,0.6,21.3,74.4,0.0,32.0,32.0,0.0,100.0,9.3,0.7,43.0,0.0,100.0,17.0,43.0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,4.5,,18.5,-0.3,-14.3,
Jakob Gul,Jakob Gul,,,1,0,0,0.0,1,18,6,0,2,7,17,1,0,0,0,1,0,0,0,0.4,52.6,105.9,0.0,18.0,18.0,0.0,100.0,11.8,1.1,17.0,0.0,100.0,5.0,17.0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.4,,4.5,0.1,-14.3,
G Scrivens,G Scrivens,Left hand,Right arm off break,1,1,0,100.0,1,21,11,2,0,10,24,1,0,0,0,1,0,0,0,0.4,40.7,87.5,0.0,21.0,21.0,0.0,100.0,8.3,0.9,24.0,0.0,100.0,10.0,24.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,5.2,,7.5,-0.1,-14.3,
J Gardner,J Gardner,Right hand,Right arm off break,1,1,0,100.0,1,42,11,3,1,18,39,1,0,0,0,1,0,0,0,0.5,30.8,107.7,0.0,42.0,42.0,0.0,100.0,10.3,1.1,39.0,0.0,100.0,13.0,39.0,9.8,1,13,6,1,0,0,12,1,0,1,4,0,0,0,0,0,0,1,0,0,6.5,0,33.3,8.3,inf,0,inf,0,1.1,12.0,46.2,1.3,6.5,inf,28.5,0.1,-1.3,-0.3
FR Davies,FR Davies,Right hand,Right arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,22,4,2,0,3,24,3,0,3,15,1,0,0,2,0,0,0,0,0,5.5,0,62.5,8.3,7.33,0,8.0,0,0.9,12.0,25.9,2.1,,7.3,-13.5,,7.7,-0.5
LCN Smith,LCN Smith,Left hand,Left arm orthodox,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,20,10,1,0,0,24,0,0,0,10,0,0,0,0,0,0,0,0,0,5.0,0,41.7,4.2,inf,0,inf,0,0.8,24.0,33.3,2.5,,inf,-13.5,,5.7,-0.6
MLL Taylor,MLL Taylor,,,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,34,12,3,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,8.5,0,16.7,12.5,inf,0,inf,0,1.4,8.0,50.0,1.0,,inf,-13.5,,19.7,0.0
GL Adams,GL Adams,Right hand,Right arm pace,1,0,0,0.0,1,11,7,1,0,8,16,1,0,1,0,0,0,0,0,0.5,37.5,68.8,0.0,11.0,11.0,0.0,100.0,6.2,0.7,16.0,0.0,100.0,10.0,16.0,16.0,1,40,13,3,1,0,24,0,0,0,3,0,0,0,0,0,0,1,0,0,10.0,0,12.5,16.7,inf,0,inf,0,1.7,6.0,54.2,1.0,4.1,inf,-2.5,-0.3,25.7,0.3
CR Knott,CR Knott,Right hand,Right arm off break,1,0,0,0.0,1,50,12,6,0,16,41,1,1,0,0,0,0,0,0,0.4,28.6,122.0,0.0,50.0,50.0,0.0,100.0,14.6,1.2,41.0,0.0,100.0,9.0,41.0,6.8,1,18,10,0,0,1,24,0,0,0,10,0,0,0,1,0,0,2,1,0,4.5,0,41.7,0.0,18.0,0,24.0,0,0.8,inf,41.7,2.0,7.3,18.0,36.5,0.2,3.7,-0.6
CL Griffith,CL Griffith,Right hand,Right arm pace,1,1,0,100.0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,100.0,100.0,0.0,1.0,1.0,0.0,100.0,0.0,1.0,1.0,0.0,100.0,,1.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,6.0,,-12.5,-0.0,-14.3,
MK Villiers,MK Villiers,Right hand,Right arm off break,1,1,0,100.0,1,34,14,2,0,5,27,0,0,0,0,0,0,0,0,0.2,48.1,125.9,0.0,inf,34.0,0.0,100.0,7.4,1.3,27.0,0.0,100.0,5.0,inf,13.5,1,23,11,1,0,1,24,0,0,0,7,0,0,0,0,1,0,0,0,0,5.8,0,29.2,4.2,23.0,0,24.0,0,1.0,24.0,58.3,1.3,7.6,23.0,20.5,0.3,8.7,-0.4
AJ Macleod,AJ Macleod,Right hand,Right arm off break,1,1,0,100.0,1,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,100.0,,2.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
J Grewcock,J Grewcock,,,1,1,0,100.0,1,22,10,1,0,7,22,1,1,0,0,0,0,0,0,0.3,50.0,100.0,0.0,22.0,22.0,0.0,100.0,4.5,1.0,22.0,0.0,100.0,17.0,22.0,22.0,1,23,7,3,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,7.7,0,33.3,16.7,inf,0,inf,0,1.3,6.0,44.4,1.2,6.0,inf,8.5,-0.0,8.7,-0.1
F Miller,F Miller,,,1,1,0,100.0,1,11,2,1,0,0,5,0,0,0,0,0,0,0,0,0.0,40.0,220.0,0.0,inf,11.0,0.0,100.0,20.0,2.2,5.0,0.0,100.0,3.0,inf,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,13.2,,-2.5,1.2,-14.3,
GA Elwiss,GA Elwiss,Right hand,Right arm pace,1,0,0,0.0,1,33,17,3,0,14,37,1,0,0,0,1,0,0,0,0.4,48.7,89.2,0.0,33.0,33.0,0.0,100.0,8.1,0.9,37.0,0.0,100.0,8.0,37.0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,5.4,,19.5,-0.1,-14.3,
NM Hancock,NM Hancock,Right hand,Right arm pace,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,25,6,4,0,0,18,1,0,1,7,0,0,0,0,0,0,0,0,0,8.3,0,38.9,22.2,inf,0,inf,0,1.4,4.5,21.1,1.4,,inf,-13.5,,10.7,0.0
S Munro,S Munro,Right hand,Right arm pace,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,27,9,2,0,4,24,4,0,4,9,1,0,0,2,1,0,0,0,0,6.8,0,37.5,8.3,6.75,0,6.0,0,1.1,12.0,22.2,1.4,,6.8,-13.5,,12.7,-0.3
E Gray,E Gray,Right hand,Right arm pace,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,16,8,0,0,1,24,0,0,0,10,0,1,0,0,0,0,0,0,0,4.0,0,41.7,0.0,16.0,0,24.0,0,0.7,inf,50.0,1.7,,16.0,-13.5,,1.7,-0.7
FG Kemp,FG Kemp,,,1,0,0,0.0,1,2,2,0,0,2,4,1,0,0,0,1,0,0,0,0.5,75.0,50.0,0.0,2.0,2.0,0.0,100.0,0.0,0.5,4.0,0.0,100.0,,4.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,3.0,,-11.5,-0.5,-14.3,
N Harman,N Harman,Right hand,Right arm leg break,1,0,0,0.0,1,10,6,0,0,1,9,0,0,0,0,0,0,0,0,0.1,50.0,111.1,0.0,inf,10.0,0.0,100.0,0.0,1.1,9.0,0.0,100.0,,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.7,,-3.5,0.1,-14.3,
E Windsor,E Windsor,Right hand,Right arm pace,1,0,0,0.0,1,10,2,1,0,2,7,1,0,0,0,0,1,0,0,0.3,28.6,142.9,0.0,10.0,10.0,0.0,100.0,14.3,1.4,7.0,0.0,100.0,5.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,8.6,,-3.5,0.4,-14.3,
AD Carr,AD Carr,Right hand,,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,,,,0,,0,,,,0.0,,,-13.5,,-14.3,
AZ Monaghan,AZ Monaghan,Right hand,Right arm pace,1,0,0,0.0,1,4,0,0,0,0,3,1,0,0,0,0,1,0,0,0.0,25.0,133.3,0.0,4.0,4.0,0.0,100.0,0.0,1.3,3.0,0.0,100.0,,3.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,8.0,,-9.5,0.3,-14.3,
R Southby,R Southby,Right hand,,1,0,0,0.0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0.0,66.7,33.3,0.0,inf,1.0,0.0,100.0,0.0,0.3,3.0,0.0,100.0,,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,2.0,,-12.5,-0.7,-14.3,
A Griffiths,A Griffiths,Right hand,Right arm pace,1,0,0,0.0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
E Corney,E Corney,,,1,0,0,0.0,1,6,2,1,0,7,10,1,0,0,0,1,0,0,0,0.7,30.0,60.0,0.0,6.0,6.0,0.0,100.0,10.0,0.6,10.0,0.0,100.0,5.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,3.6,,-7.5,-0.4,-14.3,
MR Corteen-Coleman,MR Corteen-Coleman,,,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,14,2,3,0,1,12,0,0,0,7,1,0,0,0,0,0,0,0,0,7.0,0,58.3,25.0,14.0,0,12.0,0,1.2,4.0,25.0,2.3,,14.0,-13.5,,-0.3,-0.2
N Holland,N Holland,,,1,0,0,0.0,1,20,8,3,0,7,18,1,0,0,0,0,0,1,0,0.4,31.6,111.1,0.0,20.0,20.0,0.0,100.0,16.7,1.1,18.0,0.0,100.0,7.0,18.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.7,,6.5,0.1,-14.3,
NE Farrant,NE Farrant,Left hand,Left arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,8,4,1,0,1,12,0,0,0,7,0,0,0,1,0,0,0,0,0,4.0,0,58.3,8.3,8.0,0,12.0,0,0.7,12.0,33.3,3.5,,8.0,-13.5,,-6.3,-0.7
PA Franklin,PA Franklin,Right hand,Right arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,8,3,1,0,0,6,1,0,1,2,0,0,0,0,0,0,1,0,0,8.0,0,33.3,16.7,inf,0,inf,0,1.3,6.0,28.6,1.0,,inf,-13.5,,-6.3,-0.1
NAJ Wraith,NAJ Wraith,Right hand,,1,0,0,0.0,1,10,2,2,0,2,6,0,0,0,0,0,0,0,0,0.3,50.0,166.7,0.0,inf,10.0,0.0,100.0,33.3,1.7,6.0,0.0,100.0,3.0,inf,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,10.0,,-3.5,0.7,-14.3,
R MacDonald-Gay,R MacDonald-Gay,,,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,8,4,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0,0,16.7,16.7,inf,0,inf,0,1.3,6.0,50.0,1.0,,inf,-13.5,,-6.3,-0.1
PJ Scholfield,PJ Scholfield,Right hand,Right arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,0,,0,,,,0.0,,,-13.5,,-14.3,
SN Luff,SN Luff,Right hand,Right arm pace,1,0,0,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,inf,1.0,0.0,100.0,0.0,1.0,1.0,0.0,100.0,,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.0,,-12.5,-0.0,-14.3,
L Winfield-Hill,L Winfield-Hill,,,1,0,0,0.0,1,5,1,1,0,4,6,1,0,0,0,1,0,0,0,0.7,14.3,83.3,0.0,5.0,5.0,0.0,100.0,16.7,0.8,6.0,0.0,100.0,6.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,,,0,,0,,,,0.0,5.0,,-8.5,-0.2,-14.3,
L Dobson,L Dobson,,,1,0,0,0.0,1,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,100.0,,2.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
EL Arlott,EL Arlott,Right hand,Right arm pace,1,1,0,100.0,1,5,1,1,0,2,4,1,0,0,0,1,0,0,0,0.5,25.0,125.0,0.0,5.0,5.0,0.0,100.0,25.0,1.2,4.0,0.0,100.0,1.0,4.0,4.0,1,10,3,1,0,2,12,1,0,1,7,0,0,0,2,0,0,1,0,0,5.0,0,58.3,8.3,5.0,0,6.0,0,0.8,12.0,23.1,2.3,7.5,5.0,-8.5,0.2,-4.3,-0.6
C Pavely,C Pavely,,,1,1,0,100.0,1,5,3,0,0,2,7,1,0,0,0,0,0,0,1,0.3,28.6,71.4,0.0,5.0,5.0,0.0,100.0,0.0,0.7,7.0,0.0,100.0,,7.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,4.3,,-8.5,-0.3,-14.3,
HJ Armitage,HJ Armitage,Right hand,Right arm leg break,1,0,0,0.0,1,0,0,0,0,3,3,1,0,0,0,1,0,0,0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,100.0,,3.0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,0.0,,-13.5,-1.0,-14.3,
G Potts,G Potts,Right hand,Right arm pace,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,15,3,3,0,3,12,0,0,0,6,1,0,0,2,0,0,0,0,0,7.5,0,50.0,25.0,5.0,0,4.0,0,1.2,4.0,16.7,1.5,,5.0,-13.5,,0.7,-0.2
D Perrin,D Perrin,,,1,1,0,100.0,1,5,1,1,0,1,3,1,1,0,0,0,0,0,0,0.3,0.0,166.7,0.0,5.0,5.0,0.0,100.0,33.3,1.7,3.0,0.0,100.0,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,10.0,,-8.5,0.7,-14.3,
EA Burns,EA Burns,Right hand,Right arm off break,1,0,0,0.0,1,30,8,5,0,4,18,1,0,0,0,1,0,0,0,0.2,27.8,166.7,0.0,30.0,30.0,0.0,100.0,27.8,1.7,18.0,0.0,100.0,2.0,18.0,3.6,1,22,6,4,0,2,18,0,0,0,6,0,0,0,1,0,1,0,0,0,7.3,0,33.3,22.2,11.0,0,9.0,0,1.2,4.5,33.3,1.3,10.0,11.0,16.5,0.7,7.7,-0.2
AJ Freeborn,AJ Freeborn,Right hand,,1,1,0,100.0,1,6,2,1,0,2,5,1,0,0,0,0,1,0,0,0.4,40.0,120.0,0.0,6.0,6.0,0.0,100.0,20.0,1.2,5.0,0.0,100.0,2.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,,,,0,,0,,,,0.0,7.2,,-7.5,0.2,-14.3,
