,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
JD Unadkat,JD Unadkat,Right hand,Left arm pace,1,0,0,0.0,1,4,4,0,0,7,11,1,0,1,0,0,0,0,0,0.6,36.4,36.4,0.0,4.0,4.0,0.0,100.0,0.0,0.4,11.0,0.0,100.0,,11.0,inf,1,9,3,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,0,16.7,16.7,inf,0,inf,0,1.5,6.0,50.0,1.0,2.2,inf,-9.5,-0.6,-5.3,0.1
B Kumar,B Kumar,Right hand,Right arm pace,1,0,0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,inf,inf,1,25,2,2,2,0,12,1,0,1,5,0,0,0,0,0,0,0,0,0,12.5,0,41.7,33.3,inf,0,inf,0,2.1,3.0,30.8,1.7,0.0,inf,-13.5,-1.0,10.7,0.7
VR Iyer,VR Iyer,Left hand,Right arm pace,1,1,0,100.0,1,52,10,4,3,3,26,0,0,0,0,0,0,0,0,0.1,40.7,200.0,0.0,inf,52.0,0.0,100.0,26.9,2.0,26.0,0.0,100.0,2.0,inf,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,12.0,,38.5,1.0,-14.3,
T Natarajan,T Natarajan,Left hand,Left arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,29,5,4,1,0,12,2,0,2,2,0,0,0,0,0,0,0,0,0,14.5,0,16.7,41.7,inf,0,inf,0,2.4,2.4,21.4,1.0,,inf,-13.5,,14.7,1.0
SS Iyer,SS Iyer,Right hand,Right arm leg break,1,1,0,100.0,1,6,2,1,0,0,3,0,0,0,0,0,0,0,0,0.0,66.7,200.0,0.0,inf,6.0,0.0,100.0,33.3,2.0,3.0,0.0,100.0,1.0,inf,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,12.0,,-7.5,1.0,-14.3,
BA King,BA King,Right hand,,2,2,0,100.0,2,80,18,4,7,19,50,2,0,0,0,2,0,0,0,0.4,42.0,160.0,3.25,40.0,40.0,4.0,90.0,22.0,1.6,25.0,3.0,88.0,5.5,25.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,0,,0,,,,0.0,9.6,,66.5,0.6,-14.3,
J Charles,J Charles,Right hand,,2,2,0,100.0,2,76,4,9,6,16,35,2,0,0,0,2,0,0,0,0.5,25.0,217.1,93.8,38.0,38.0,31.0,18.400000000000006,42.9,2.2,17.5,8.5,51.4,1.5,17.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,13.0,,62.5,1.2,-14.3,
L Ngidi,L Ngidi,Right hand,Right arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,41,5,3,3,2,24,0,0,0,10,0,0,0,2,0,0,0,0,0,10.2,0,41.7,25.0,20.5,0,12.0,0,1.7,4.0,29.2,2.0,,20.5,-13.5,,26.7,0.3
BC Fortuin,BC Fortuin,Right hand,Left arm orthodox,2,0,0,0.0,2,11,7,1,0,5,14,0,0,0,0,0,0,0,0,0.4,36.8,78.6,12.5,inf,5.5,3.5,36.4,7.1,0.8,7.0,5.0,28.599999999999994,14.0,inf,14.0,2,46,15,1,4,1,36,1,0,1,15,0,0,0,1,0,0,0,0,0,7.7,0,41.7,13.9,46.0,0,36.0,0,1.3,7.2,45.9,1.7,4.7,46.0,-2.5,-0.2,31.7,-0.1
A Nortje,A Nortje,Right hand,Right arm pace,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,2,73,7,12,2,0,36,0,0,0,12,0,0,0,0,0,0,0,0,0,12.2,0,33.3,38.9,inf,0,inf,0,2.0,2.6,30.6,1.1,,inf,-13.5,,58.7,0.6
RD Rickelton,RD Rickelton,Left hand,,2,0,0,0.0,2,37,15,5,0,8,31,2,0,0,0,2,0,0,0,0.3,54.8,119.4,8.4,18.5,18.5,0.5,97.3,16.1,1.2,15.5,1.5,90.3,4.5,15.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,7.2,,23.5,0.2,-14.3,
