,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
Sarfraz Butt,Sarfraz Butt,Right hand,,5,1,0,20.0,2,21,9,1,0,5,19,1,0,0,0,0,0,1,0,0.3,45.0,110.5,2.98,21.0,10.5,2.5,76.2,5.3,1.1,9.5,2.5,73.7,11.0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,,0,,,,0,,0,,,,0.0,6.6,,-279.9,0.2,-313.1,
V Aravind,V Aravind,Right hand,,43,22,0,51.2,41,1010,329,99,23,377,908,36,10,4,0,16,0,5,1,0.4,38.8,111.2,39.56,28.06,24.63,17.78,27.799999999999997,13.4,1.1,22.1,13.41,39.3,7.9,25.2,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,5,,0,,,,0,,0,,,,0.0,6.7,,709.1,0.2,-313.1,
Mohammad Ayaz,Mohammad Ayaz,Left hand,Left arm pace,1,1,0,100.0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,100.0,,2.0,inf,1,25,0,3,1,0,12,5,0,5,6,0,0,0,0,0,0,0,0,0,12.5,0,50.0,33.3,inf,0,inf,0,2.1,3.0,7.7,1.8,0.0,inf,-300.9,-0.9,-288.1,0.8
Shamsudheen Purat,Shamsudheen Purat,Right hand,Right arm off break,1,0,0,0.0,1,23,7,4,0,11,22,1,0,0,0,1,0,0,0,0.5,31.8,104.5,0.0,23.0,23.0,0.0,100.0,18.2,1.0,22.0,0.0,100.0,1.0,22.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,6.3,,-277.9,0.1,-313.1,
Sajid Cheema,Sajid Cheema,Right hand,,3,1,0,33.3,3,31,11,1,2,21,39,3,2,0,0,1,0,0,0,0.5,37.2,79.5,44.71,10.33,10.33,6.89,33.3,7.7,0.8,13.0,10.0,23.099999999999994,9.5,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,4.8,,-269.9,-0.1,-313.1,
Muhammad Naeem,Muhammad Naeem,Right hand,Right arm off break,1,0,0,0.0,1,27,11,0,2,7,22,1,0,0,0,1,0,0,0,0.3,34.8,122.7,0.0,27.0,27.0,0.0,100.0,9.1,1.2,22.0,0.0,100.0,9.0,22.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,7.4,,-273.9,0.3,-313.1,
Khawar Zafar,Khawar Zafar,Right hand,Right arm leg break,1,0,0,0.0,1,5,1,1,0,1,3,1,1,0,0,0,0,0,0,0.3,33.3,166.7,0.0,5.0,5.0,0.0,100.0,33.3,1.7,3.0,0.0,100.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,10.0,,-295.9,0.8,-313.1,
Imran Anwar,Imran Anwar,Right hand,Left arm pace,44,22,0,50.0,34,638,124,42,45,218,477,31,10,3,0,15,0,2,1,0.5,32.6,133.8,63.7,20.58,18.76,17.18,8.400000000000006,18.2,1.3,14.0,10.39,25.799999999999997,4.5,15.4,5.5,40,864,276,78,26,37,677,26,6,20,241,5,6,0,25,0,1,7,1,0,7.7,0,35.6,15.4,23.35,0,18.3,0,1.3,6.5,41.6,1.8,8.0,23.4,337.1,0.4,550.9,-0.0
Sarfaraz Ali,Sarfaraz Ali,Right hand,Right arm pace,37,18,0,48.6,37,736,118,63,54,258,522,35,11,1,0,14,3,4,1,0.5,27.7,141.0,58.98,21.03,19.89,14.63,26.400000000000006,22.4,1.4,14.1,9.64,31.599999999999994,4.4,14.9,4.5,32,700,263,46,28,31,598,17,1,16,214,13,4,0,13,0,1,5,1,0,7.0,0,35.8,12.4,22.58,0,19.3,0,1.2,8.1,44.5,1.6,8.5,22.6,435.1,0.5,386.9,-0.1
I Liyanage,I Liyanage,Right hand,Right arm pace,21,10,0,47.6,18,425,119,54,6,153,364,15,4,2,0,5,1,2,1,0.4,35.3,116.8,40.2,28.33,23.61,17.86,24.400000000000006,16.5,1.2,20.2,12.14,39.9,3.8,24.3,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1,,0,,,,0,,0,,,,0.0,7.0,,124.1,0.3,-313.1,
