,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
Noor Ali Zadran,Noor Ali Zadran,Right hand,Right arm pace,18,10,0,55.6,18,448,166,44,8,167,420,17,3,2,0,7,1,3,1,0.4,41.8,106.7,34.87,26.35,24.89,16.54,33.5,12.4,1.1,23.3,13.63,41.5,5.9,24.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,,,,0,,0,,,,0.0,6.4,,147.1,0.2,-313.1,
Karim Sadiq,Karim Sadiq,Right hand,Right arm off break,36,18,0,50.0,35,410,123,48,6,190,404,34,6,2,0,22,1,3,0,0.5,32.9,101.5,53.4,12.06,11.71,10.41,11.099999999999994,13.4,1.0,11.5,8.06,29.900000000000006,3.8,11.9,7.5,29,562,173,42,25,8,432,18,2,16,163,2,0,0,5,1,0,8,2,2,7.8,0,37.7,15.5,70.25,0,54.0,0,1.3,6.4,39.8,1.6,6.1,70.2,109.1,0.1,248.9,-0.0
P Kumar,P Kumar,Right hand,Right arm pace,102,53,0,52.0,40,201,79,13,7,90,207,25,12,0,0,7,0,6,0,0.4,39.7,97.1,49.6,8.04,5.03,4.63,8.0,9.7,1.0,5.2,3.23,37.9,4.0,8.3,10.4,102,2605,634,292,67,70,2068,109,1,108,876,13,4,0,53,0,0,11,5,0,7.6,0,42.4,17.4,37.21,0,29.5,0,1.3,5.8,34.1,1.9,5.8,37.2,-99.9,0.1,2291.9,-0.0
A Nehra,A Nehra,Right hand,Left arm pace,84,45,0,53.6,15,20,14,1,0,33,54,9,3,0,0,6,0,0,0,0.6,43.9,37.0,27.47,2.22,1.33,1.73,-30.099999999999994,1.9,0.4,3.6,2.99,16.900000000000006,8.0,6.0,54.0,84,2412,597,268,72,103,1831,60,5,55,742,20,4,0,78,0,1,9,4,0,7.9,0,40.5,18.6,23.42,0,17.8,0,1.3,5.4,35.4,1.8,2.2,23.4,-280.9,-0.5,2098.9,-0.0
MS Dhoni,MS Dhoni,Right hand,Right arm pace,298,174,0,58.4,255,5471,1608,370,265,1258,3977,135,23,4,0,91,4,11,2,0.3,40.3,137.6,56.34,40.53,21.45,13.2,38.5,16.0,1.4,15.6,8.79,43.7,7.2,29.5,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,53,64,,0,,,,0,,0,,,,0.0,8.3,,5170.1,0.5,-313.1,
Mohammad Shahzad,Mohammad Shahzad,Right hand,,121,70,0,57.9,121,3268,777,361,139,1016,2435,115,25,8,0,71,2,6,3,0.4,34.1,134.2,44.91,28.42,27.01,19.38,28.200000000000003,20.5,1.3,20.1,12.24,39.1,4.7,21.2,4.9,13,245,70,26,7,8,188,3,0,3,68,2,0,0,6,0,0,55,21,35,7.8,0,36.2,17.6,30.62,0,23.5,0,1.3,5.7,42.4,1.6,8.1,30.6,2967.1,0.4,-68.1,-0.0
Nawroz Mangal,Nawroz Mangal,Right hand,Right arm off break,26,14,0,53.8,26,409,130,33,17,153,363,24,4,3,0,14,1,1,1,0.4,36.9,112.7,53.45,17.04,15.73,12.67,19.5,13.8,1.1,14.0,8.88,36.6,5.0,15.1,7.3,4,53,14,2,4,1,35,3,0,3,12,0,0,0,0,1,0,13,3,0,9.1,0,34.3,17.1,53.0,0,35.0,0,1.5,5.8,32.4,1.4,6.8,53.0,108.1,0.2,-260.1,0.2
Z Khan,Z Khan,Right hand,Left arm pace,76,36,0,47.4,16,60,22,4,2,45,81,9,3,0,0,6,0,0,0,0.6,44.4,74.1,56.48,6.67,3.75,4.16,-10.900000000000006,7.4,0.7,5.1,3.59,29.599999999999994,4.2,9.0,13.5,76,2133,578,226,53,74,1700,82,1,81,685,12,6,0,55,0,1,14,4,0,7.5,0,40.3,16.4,28.82,0,23.0,0,1.3,6.1,36.6,1.8,4.4,28.8,-240.9,-0.2,1819.9,-0.0
RA Jadeja,RA Jadeja,Left hand,Left arm orthodox,281,166,0,59.1,193,2988,1022,220,108,637,2252,111,16,7,1,66,1,10,9,0.3,44.7,132.7,55.64,26.92,15.48,9.79,36.8,14.6,1.3,11.7,6.71,42.6,5.8,20.3,6.9,265,6189,2232,362,285,205,4918,114,7,107,1645,43,20,0,112,17,13,105,28,0,7.6,0,33.4,13.2,30.19,0,24.0,0,1.3,7.6,44.9,1.6,8.0,30.2,2687.1,0.4,5875.9,-0.0
G Gambhir,G Gambhir,Left hand,Right arm leg break,146,82,0,56.2,143,3726,1248,429,52,1085,3103,129,28,6,0,75,1,14,5,0.3,39.9,120.1,37.64,28.88,26.06,19.31,25.900000000000006,15.5,1.2,21.7,13.63,37.2,5.5,24.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,,0,,,,0,,0,,,,0.0,7.2,,3425.1,0.3,-313.1,
Asghar Stanikzai,Asghar Stanikzai,Right hand,Right arm pace,79,53,0,67.1,72,1586,537,100,87,550,1375,68,13,4,0,41,3,4,3,0.4,41.3,115.3,41.94,23.32,22.03,14.39,34.7,13.6,1.2,19.1,10.27,46.2,6.5,20.2,7.4,2,12,3,1,0,2,7,3,0,3,2,1,0,0,1,0,0,24,0,0,10.3,0,28.6,14.3,6.0,0,3.5,0,1.7,7.0,62.5,1.0,6.9,6.0,1285.1,0.3,-301.1,0.4
Yuvraj Singh,Yuvraj Singh,Left hand,Left arm orthodox,155,79,0,51.0,137,2885,819,230,148,967,2324,116,12,6,1,87,3,4,3,0.4,38.8,124.1,45.29,24.87,21.06,14.93,29.099999999999994,16.3,1.2,17.0,9.21,45.8,6.3,20.0,6.1,92,1427,533,91,56,61,1169,18,3,15,392,11,6,0,35,7,2,28,7,0,7.3,0,33.5,12.6,23.39,0,19.2,0,1.2,8.0,46.0,1.5,7.4,23.4,2584.1,0.3,1113.9,-0.1
Harbhajan Singh,Harbhajan Singh,Right hand,Right arm off break,158,92,0,58.2,84,786,206,76,36,259,619,53,5,5,0,35,1,6,0,0.4,35.0,127.0,66.28,14.83,9.36,8.04,14.099999999999994,18.1,1.3,7.4,5.39,27.200000000000003,4.4,11.7,5.5,156,3874,1401,283,140,141,3335,109,3,106,1289,25,8,1,83,17,7,41,6,0,7.0,0,38.7,12.7,27.48,0,23.7,0,1.2,7.9,41.1,1.7,7.6,27.5,485.1,0.4,3560.9,-0.1
YK Pathan,YK Pathan,Right hand,Right arm off break,177,101,0,57.1,150,2721,885,204,120,713,2109,97,14,8,0,65,2,4,3,0.3,42.6,129.0,53.94,28.05,18.14,13.34,26.5,15.4,1.3,14.1,8.67,38.5,5.7,21.7,6.5,66,1084,402,64,52,35,857,26,0,26,283,7,3,0,19,4,2,45,5,0,7.6,0,33.0,13.5,30.97,0,24.5,0,1.3,7.4,46.1,1.5,7.7,31.0,2420.1,0.4,770.9,-0.0
Mohammad Nabi,Mohammad Nabi,Right hand,Right arm off break,354,189,0,53.4,301,5057,1483,344,257,1231,3723,243,31,13,0,174,5,13,7,0.3,40.7,135.8,57.27,20.81,16.8,12.65,24.700000000000003,16.1,1.4,12.4,7.25,41.5,6.3,15.3,6.2,336,7433,2691,452,305,280,6272,127,6,121,2269,52,28,1,163,23,13,158,20,0,7.1,0,36.2,12.1,26.55,0,22.4,0,1.2,8.3,43.8,1.6,8.1,26.5,4756.1,0.5,7119.9,-0.1
Raees Ahmadzai,Raees Ahmadzai,Right hand,Right arm off break,2,0,0,0.0,2,9,5,1,0,1,7,1,0,0,0,1,0,0,0,0.1,57.1,128.6,50.0,9.0,4.5,0.5,88.9,14.3,1.3,3.5,1.5,57.1,1.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,7.7,,-291.9,0.4,-313.1,
Samiullah Shenwari,Samiullah Shenwari,Right hand,Right arm leg break,76,48,0,63.2,65,1177,421,88,49,336,967,51,4,6,0,31,0,8,2,0.3,42.1,121.7,46.05,23.08,18.11,14.25,21.299999999999997,14.2,1.2,14.9,9.88,33.7,7.3,19.0,7.1,38,708,285,43,22,25,622,29,3,26,223,3,8,0,10,3,1,24,5,0,6.8,0,35.9,10.5,28.32,0,24.9,0,1.1,9.6,44.3,1.7,7.3,28.3,876.1,0.3,394.9,-0.2
Hamid Hassan,Hamid Hassan,Right hand,Right arm pace,23,13,0,56.5,8,49,17,3,2,21,48,4,2,0,0,2,0,0,0,0.4,39.6,102.1,34.61,12.25,6.12,3.97,35.099999999999994,10.4,1.0,6.0,3.75,37.5,2.7,12.0,9.6,23,534,170,62,6,32,507,17,4,13,218,18,2,0,12,0,0,4,3,0,6.3,0,43.0,13.4,16.69,0,15.8,0,1.1,7.5,38.3,2.0,6.1,16.7,-251.9,0.1,220.9,-0.2
Shapoor Zadran,Shapoor Zadran,Left hand,Left arm pace,38,16,0,42.1,11,28,8,0,3,62,74,7,6,1,0,0,0,0,0,0.8,30.4,37.8,22.38,4.0,2.55,3.07,-20.400000000000006,4.1,0.4,6.7,5.11,23.700000000000003,15.5,10.6,24.7,38,981,241,117,25,44,776,24,6,18,315,13,1,0,30,0,0,5,4,0,7.6,0,40.6,18.3,22.3,0,17.6,0,1.3,5.5,36.4,1.8,2.3,22.3,-272.9,-0.5,667.9,-0.0
M Vijay,M Vijay,Right hand,Right arm off break,106,50,0,47.2,104,2658,740,258,85,919,2220,102,19,8,0,53,5,14,3,0.4,36.4,119.7,37.97,26.06,25.56,18.8,26.400000000000006,15.5,1.2,21.3,12.74,40.2,5.9,21.8,6.5,6,61,30,6,0,0,54,1,0,1,14,0,0,0,0,0,0,39,0,0,6.8,0,25.9,11.1,inf,0,inf,0,1.1,9.0,50.9,1.2,7.2,inf,2357.1,0.3,-252.1,-0.2
Dawlat Ahmadzai,Dawlat Ahmadzai,Right hand,Right arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,21,3,1,1,1,12,1,1,0,5,0,0,0,1,0,0,0,0,0,10.5,0,41.7,16.7,21.0,0,12.0,0,1.8,6.0,30.8,2.5,,21.0,-300.9,,-292.1,0.5
SK Raina,SK Raina,Left hand,Right arm off break,248,157,0,63.3,234,6239,1970,576,218,1448,4604,199,25,11,0,132,9,14,8,0.3,41.2,135.5,40.32,31.35,26.66,18.29,31.400000000000006,17.2,1.4,19.7,11.57,41.3,5.6,23.1,5.8,80,1277,508,71,54,25,1024,31,0,31,303,2,5,0,12,3,3,126,12,0,7.5,0,29.6,12.2,51.08,0,41.0,0,1.2,8.2,47.0,1.5,8.1,51.1,5938.1,0.5,963.9,-0.1
Kamran Akmal,Kamran Akmal,Right hand,,129,64,0,49.6,124,2987,718,323,123,959,2279,118,23,11,0,74,3,7,0,0.4,34.1,131.1,49.85,25.31,24.09,21.02,12.700000000000003,19.6,1.3,18.4,12.79,30.5,5.0,19.3,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,13,27,,0,,,,0,,0,,,,0.0,7.9,,2686.1,0.4,-313.1,
Salman Butt,Salman Butt,Left hand,Right arm off break,11,5,0,45.5,11,310,114,36,4,90,262,10,2,0,0,8,0,0,0,0.3,40.4,118.3,31.94,31.0,28.18,17.47,38.0,15.3,1.2,23.8,11.07,53.5,6.6,26.2,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,,,,0.0,7.1,,9.1,0.3,-313.1,
Mashrafe Mortaza,Mashrafe Mortaza,Right hand,Right arm pace,138,72,0,52.2,81,769,199,61,44,239,601,61,21,2,0,32,1,5,0,0.4,37.6,128.0,69.46,12.61,9.49,7.99,15.799999999999997,17.5,1.3,7.4,5.08,31.400000000000006,4.5,9.9,5.7,133,3394,1060,311,108,116,2776,87,10,77,1087,23,4,0,87,0,2,24,7,0,7.3,0,39.2,15.1,29.26,0,23.9,0,1.2,6.6,39.2,1.7,7.7,29.3,468.1,0.4,3080.9,-0.1
Abdur Razzak,Abdur Razzak,Left hand,Left arm orthodox,47,16,0,34.0,23,94,42,6,1,66,131,15,4,1,0,9,0,1,0,0.5,39.4,71.8,39.27,6.27,4.09,3.24,20.799999999999997,5.3,0.7,5.7,3.4,40.4,5.0,8.7,18.7,44,1084,321,76,47,48,914,42,0,42,378,10,9,0,24,4,1,10,3,0,7.1,0,41.4,13.5,22.58,0,19.0,0,1.2,7.4,40.0,1.8,4.3,22.6,-206.9,-0.2,770.9,-0.1
Shafiul Islam,Shafiul Islam,Right hand,Right arm pace,87,40,0,46.0,27,142,50,13,3,75,154,15,5,1,0,6,0,3,0,0.5,35.4,92.2,53.23,9.47,5.26,4.57,13.099999999999994,10.4,0.9,5.7,3.17,44.4,4.7,10.3,9.6,85,2370,629,220,86,90,1706,90,2,88,614,20,7,0,62,0,1,14,1,0,8.3,0,36.0,17.9,26.33,0,19.0,0,1.4,5.6,40.0,1.7,5.5,26.3,-158.9,0.0,2056.9,0.1
Naeem Islam,Naeem Islam,Right hand,Right arm off break,50,20,0,40.0,38,469,201,37,12,189,473,30,3,5,0,16,1,3,1,0.4,40.9,99.2,46.4,15.63,12.34,9.34,24.299999999999997,10.4,1.0,12.4,8.24,33.5,6.8,15.8,9.7,19,376,117,29,17,14,299,10,0,10,117,3,2,0,7,2,0,17,3,0,7.5,0,39.1,15.4,26.86,0,21.4,0,1.3,6.5,42.5,1.6,5.9,26.9,168.1,0.1,62.9,-0.0
Shakib Al Hasan,Shakib Al Hasan,Left hand,Left arm orthodox,352,184,0,52.3,318,6152,2097,578,175,1604,4873,267,61,9,0,169,4,14,10,0.3,42.6,126.2,47.24,23.04,19.35,14.64,24.299999999999997,15.5,1.3,15.3,9.34,39.0,6.2,18.3,6.5,344,8357,2981,544,362,398,7391,150,3,147,2982,89,49,0,204,47,9,69,23,0,6.8,0,40.3,12.3,21.0,0,18.6,0,1.1,8.2,41.9,1.7,7.6,21.0,5851.1,0.4,8043.9,-0.2
Suhrawadi Shuvo,Suhrawadi Shuvo,Left hand,Left arm orthodox,22,12,0,54.5,9,33,17,3,0,16,38,6,1,0,0,3,0,2,0,0.4,36.8,86.8,25.21,5.5,3.67,2.44,33.5,7.9,0.9,4.2,1.63,61.2,6.3,6.3,12.7,20,455,160,27,23,12,354,10,0,10,121,3,0,0,7,1,1,4,1,0,7.7,0,34.2,14.1,37.92,0,29.5,0,1.3,7.1,43.2,1.6,5.2,37.9,-267.9,0.0,141.9,-0.0
Mohammad Ashraful,Mohammad Ashraful,Right hand,Right arm off break,27,14,0,51.9,25,578,197,59,12,210,518,24,5,3,0,15,0,1,0,0.4,41.1,111.6,38.75,24.08,23.12,15.84,31.5,13.7,1.1,20.7,13.23,36.1,5.2,21.6,7.3,8,141,58,7,6,4,101,1,0,1,21,1,0,0,2,1,0,8,1,0,8.4,0,20.8,12.9,35.25,0,25.2,0,1.4,7.8,52.0,1.4,6.7,35.2,277.1,0.2,-172.1,0.1
Shahid Afridi,Shahid Afridi,Right hand,Right arm leg break,230,116,0,50.4,192,2806,681,195,178,588,1833,162,25,9,1,111,6,7,3,0.3,36.1,153.1,62.72,17.32,14.61,10.54,27.900000000000006,20.3,1.5,9.5,5.54,41.7,4.2,11.3,4.9,223,5567,2012,368,227,221,4768,121,4,117,1787,71,26,0,100,17,7,60,12,0,7.0,0,37.5,12.5,25.19,0,21.6,0,1.2,8.0,43.2,1.6,9.2,25.2,2505.1,0.6,5253.9,-0.1
Mahmudullah,Mahmudullah,Right hand,Right arm off break,256,115,0,44.9,231,4747,1663,369,167,1315,3888,186,42,10,0,118,4,10,2,0.3,43.0,122.1,42.03,25.52,20.55,14.01,31.799999999999997,13.8,1.2,16.8,9.86,41.3,6.5,20.9,7.3,148,2318,854,136,98,91,1936,83,1,82,695,12,7,1,57,10,4,96,12,0,7.2,0,35.9,12.1,25.47,0,21.3,0,1.2,8.3,44.1,1.6,7.3,25.5,4446.1,0.3,2004.9,-0.1
Abdul Razzaq,Abdul Razzaq,Right hand,Right arm pace,32,13,0,40.6,27,354,130,15,19,135,332,22,5,0,0,15,0,2,0,0.4,40.8,106.6,43.2,16.09,13.11,8.66,33.900000000000006,10.2,1.1,12.3,7.44,39.5,11.8,15.1,9.8,24,476,114,48,20,14,338,4,1,3,131,1,1,0,12,0,0,0,0,0,8.4,0,38.8,20.1,34.0,0,24.1,0,1.4,5.0,35.1,1.6,6.4,34.0,53.1,0.2,162.9,0.1
Misbah-ul-Haq,Misbah-ul-Haq,Right hand,Right arm leg break,63,29,0,46.0,53,1043,467,66,33,402,1039,40,6,4,1,28,0,1,0,0.4,45.9,100.4,33.43,26.08,19.68,12.41,36.9,9.5,1.0,19.6,9.63,50.9,9.6,26.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,,0,,,,0,,0,,,,0.0,6.0,,742.1,0.1,-313.1,
Tamim Iqbal,Tamim Iqbal,Left hand,,186,83,0,44.6,186,5522,1703,574,168,1778,4568,165,25,13,0,101,11,9,6,0.4,36.4,120.9,35.75,33.47,29.69,20.32,31.599999999999994,16.2,1.2,24.6,14.69,40.3,5.8,27.7,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,7,0,,0,,,,0,,0,,,,0.0,7.3,,5221.1,0.3,-313.1,
Imrul Kayes,Imrul Kayes,Left hand,Left arm orthodox,117,68,0,58.1,114,2330,744,210,95,844,2009,103,14,6,0,71,2,6,4,0.4,37.3,116.0,41.33,22.62,20.44,15.22,25.5,15.2,1.2,17.6,11.09,37.0,5.7,19.5,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,,0,,,,0,,0,,,,0.0,7.0,,2029.1,0.3,-313.1,
Mohammad Amir,Mohammad Amir,Left hand,Left arm pace,239,108,0,45.2,76,319,110,29,10,147,320,47,15,0,0,22,1,9,0,0.5,41.3,99.7,57.82,6.79,4.2,3.76,10.5,12.2,1.0,4.2,2.67,36.4,2.2,6.8,8.2,237,6245,1672,652,158,286,5222,310,14,296,2244,64,23,2,190,0,7,23,9,0,7.2,0,43.0,15.5,21.84,0,18.3,0,1.2,6.4,35.8,1.8,6.0,21.8,18.1,0.1,5931.9,-0.1
Mohammad Sami,Mohammad Sami,Right hand,Right arm pace,97,55,0,56.7,33,179,68,13,5,69,176,21,5,1,0,11,0,3,1,0.4,44.0,101.7,58.52,8.52,5.42,4.15,23.400000000000006,10.2,1.0,5.3,3.64,31.299999999999997,4.5,8.4,9.8,97,2458,657,244,70,114,2113,121,21,100,936,30,10,0,68,0,6,20,2,0,7.0,0,44.3,14.9,21.56,0,18.5,0,1.2,6.7,35.7,1.8,6.1,21.6,-121.9,0.1,2144.9,-0.1
Mohammad Hafeez,Mohammad Hafeez,Right hand,Right arm off break,251,135,0,53.8,231,5049,1625,471,162,1700,4303,203,16,13,1,141,8,16,8,0.4,39.0,117.3,39.73,24.87,21.86,15.99,26.900000000000006,14.7,1.2,18.6,11.13,40.2,5.8,21.2,6.8,160,2758,1091,163,113,106,2549,59,1,58,1015,26,13,0,48,11,8,63,5,0,6.5,0,39.8,10.8,26.02,0,24.0,0,1.1,9.2,44.1,1.7,7.0,26.0,4748.1,0.3,2444.9,-0.2
Saeed Ajmal,Saeed Ajmal,Right hand,Right arm off break,91,46,0,50.5,24,132,50,10,4,41,116,15,5,2,0,4,0,4,0,0.4,50.0,113.8,66.11,8.8,5.5,4.92,10.5,12.1,1.1,4.8,3.15,34.400000000000006,3.7,7.7,8.3,90,2272,785,166,79,121,2033,65,2,63,827,22,14,0,62,21,2,12,7,0,6.7,0,40.7,12.1,18.78,0,16.8,0,1.1,8.3,41.3,1.7,6.8,18.8,-168.9,0.2,1958.9,-0.2
Umar Akmal,Umar Akmal,Right hand,Right arm off break,169,82,0,48.5,155,3246,1050,236,143,875,2531,127,15,15,0,77,6,10,4,0.3,41.8,128.2,51.95,25.56,20.94,16.22,22.5,15.0,1.3,16.3,10.57,35.2,6.7,19.9,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,9,11,,0,,,,0,,0,,,,0.0,7.7,,2945.1,0.4,-313.1,
Mushfiqur Rahim,Mushfiqur Rahim,Right hand,,207,97,0,46.9,194,4446,1668,377,130,1058,3515,154,25,13,0,100,3,10,1,0.3,45.2,126.5,42.14,28.87,22.92,16.6,27.599999999999994,14.4,1.3,18.1,11.22,38.0,6.4,22.8,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,39,33,,0,,,,0,,0,,,,0.0,7.6,,4145.1,0.4,-313.1,
MJ Lumb,MJ Lumb,Left hand,Right arm pace,96,52,0,54.2,96,2017,438,219,72,662,1570,93,19,12,0,55,3,3,1,0.4,33.1,128.5,39.75,21.69,21.01,14.72,29.900000000000006,18.5,1.3,16.4,9.48,42.2,5.0,16.9,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,,0,,,,0,,0,,,,0.0,7.7,,1716.1,0.4,-313.1,
C Kieswetter,C Kieswetter,Right hand,Right arm off break,52,26,0,50.0,52,1359,408,128,48,490,1171,50,12,2,0,34,0,2,0,0.4,37.2,116.1,39.37,27.18,26.13,19.51,25.299999999999997,15.0,1.2,22.5,13.83,38.5,6.6,23.4,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,7,,0,,,,0,,0,,,,0.0,7.0,,1058.1,0.3,-313.1,
WB Rankin,WB Rankin,Left hand,Right arm pace,77,37,0,48.1,18,75,25,4,4,41,82,9,4,0,0,2,2,1,0,0.5,35.3,91.5,48.94,8.33,4.17,3.98,4.599999999999994,9.8,0.9,4.6,2.84,38.3,3.5,9.1,10.2,76,2001,530,196,67,81,1578,71,9,62,642,15,6,0,58,0,2,16,1,0,7.6,0,40.7,16.7,24.7,0,19.5,0,1.3,6.0,37.2,1.8,5.5,24.7,-225.9,0.0,1687.9,-0.0
DT Johnston,DT Johnston,Right hand,Right arm pace,13,9,0,69.2,5,130,21,10,7,24,78,3,2,0,0,1,0,0,0,0.3,35.0,166.7,23.4,43.33,26.0,19.6,24.599999999999994,21.8,1.7,15.6,9.92,36.4,4.8,26.0,4.6,12,261,75,21,9,11,252,7,2,5,119,2,1,0,8,0,0,6,2,0,6.2,0,47.2,11.9,23.73,0,22.9,0,1.0,8.4,36.7,2.0,10.0,23.7,-170.9,0.8,-52.1,-0.3
KJ O'Brien,KJ O'Brien,Right hand,Right arm pace,163,75,0,46.0,152,3043,813,253,141,811,2261,135,32,3,0,89,2,6,3,0.4,38.2,134.6,52.88,22.54,20.02,15.37,23.200000000000003,17.4,1.3,14.9,9.55,35.900000000000006,5.3,16.7,5.7,75,1635,499,155,42,88,1283,70,5,65,475,13,7,0,60,1,7,52,5,0,7.6,0,37.0,15.4,18.58,0,14.6,0,1.3,6.5,40.3,1.8,8.1,18.6,2742.1,0.4,1321.9,-0.0
KP Pietersen,KP Pietersen,Right hand,Right arm off break,135,68,0,50.4,129,3912,1184,333,159,921,2867,113,18,10,0,72,3,5,4,0.3,41.0,136.4,40.41,34.62,30.33,20.23,33.3,17.2,1.4,22.2,12.46,43.9,5.6,25.4,5.8,6,90,27,7,3,0,60,4,0,4,17,0,0,0,0,0,0,41,2,0,9.0,0,28.3,16.7,inf,0,inf,0,1.5,6.0,37.5,1.4,8.2,inf,3611.1,0.5,-223.1,0.2
JF Mooney,JF Mooney,Left hand,Right arm pace,13,8,0,61.5,9,79,27,10,1,14,56,5,1,0,0,4,0,0,0,0.2,46.8,141.1,67.67,15.8,8.78,5.53,37.0,19.6,1.4,6.2,1.31,78.9,3.4,11.2,5.1,8,146,50,15,3,10,138,2,0,2,60,0,1,0,9,0,0,7,1,0,6.3,0,43.5,13.0,14.6,0,13.8,0,1.1,7.7,44.3,1.8,8.5,14.6,-221.9,0.5,-167.1,-0.2
NJ O'Brien,NJ O'Brien,Left hand,,48,14,0,29.2,40,663,234,53,12,208,592,35,9,0,0,21,3,2,0,0.4,43.5,112.0,38.18,18.94,16.58,10.17,38.7,11.0,1.1,14.8,8.08,45.4,7.9,16.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,8,,0,,,,0,,0,,,,0.0,6.7,,362.1,0.2,-313.1,
PD Collingwood,PD Collingwood,Right hand,Right arm pace,82,39,0,47.6,77,1505,552,102,47,400,1263,66,11,6,0,40,1,7,1,0.3,44.8,119.2,44.18,22.8,19.55,14.8,24.299999999999997,11.8,1.2,16.4,10.08,38.5,7.1,19.1,8.5,61,1391,582,96,31,43,1131,23,11,12,310,5,2,1,33,1,1,29,4,0,7.4,0,27.4,11.2,32.35,0,26.3,0,1.2,8.9,49.7,1.4,7.1,32.3,1204.1,0.3,1077.9,-0.1
AC Botha,AC Botha,Left hand,Right arm pace,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,29,9,2,0,1,24,1,0,1,8,0,0,0,1,0,0,1,0,0,7.2,0,33.3,8.3,29.0,0,24.0,0,1.2,12.0,44.0,1.1,,29.0,-300.9,,-284.1,-0.1
EJG Morgan,EJG Morgan,Left hand,Right arm pace,310,136,0,43.9,290,6461,1999,477,311,1719,4949,251,25,11,0,190,1,23,1,0.3,41.2,130.6,45.17,25.74,22.28,16.66,25.200000000000003,15.9,1.3,17.1,10.04,41.3,6.6,19.7,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,13,0,,0,,,,0,,0,,,,0.0,7.8,,6160.1,0.4,-313.1,
GH Dockrell,GH Dockrell,Right hand,Left arm orthodox,162,76,0,46.9,115,1689,516,129,69,355,1223,74,18,2,0,45,0,6,3,0.3,42.0,138.1,55.88,22.82,14.69,11.74,20.099999999999994,16.2,1.4,10.6,6.95,34.400000000000006,5.4,16.5,6.2,116,2451,896,153,99,101,1976,78,0,78,666,14,10,0,60,12,5,78,8,0,7.4,0,33.7,12.8,24.27,0,19.6,0,1.2,7.8,45.5,1.6,8.3,24.3,1388.1,0.5,2137.9,-0.1
LJ Wright,LJ Wright,Right hand,Right arm pace,217,100,0,46.1,207,5959,1565,633,206,1407,4206,188,38,7,1,131,4,3,4,0.3,38.4,141.7,47.31,31.7,28.79,22.54,21.700000000000003,19.9,1.4,20.3,13.14,35.3,5.1,22.4,5.0,40,776,246,58,26,23,523,22,2,20,129,1,1,0,20,0,1,56,8,0,8.9,0,24.7,16.1,33.74,0,22.7,0,1.5,6.2,42.5,1.5,8.5,33.7,5658.1,0.5,462.9,0.2
